Name,trainer_options.conservation,test CSI_005,test CSI_03,test roll loss V,test roll loss WD,val_CSI_005,val_CSI_03,val_loss
vivid-sweep-1,0,0.841020346,0.694114149,0.002731162,0.047114726,0.853664875,0.735017478,0.069763608
easy-sweep-14,0.019398773,0.792072296,0.649367869,0.002947876,0.056002259,0.839118779,0.695762157,0.077163607
sunny-sweep-9,0.023279368,0.84719646,0.703069031,0.002684847,0.046875101,0.859443426,0.73415792,0.070943862
scarlet-sweep-14,0.027877803,0.829757154,0.687926292,0.002658478,0.050665848,0.862069249,0.751033545,0.065679647
spring-sweep-15,0.029119107,0.826732099,0.665561914,0.002772747,0.051203758,0.850414872,0.731927514,0.068418443
devoted-sweep-13,0.039291197,0.82006669,0.650511682,0.002828545,0.051692288,0.843735695,0.732888341,0.072180048
driven-sweep-2,0.053588202,0.837000728,0.683655739,0.002893889,0.048215829,0.856070876,0.733819604,0.073255599
wise-sweep-16,0.087567661,0.830331564,0.663987279,0.003009562,0.051404469,0.854054809,0.738246202,0.068984002
gallant-sweep-2,0.1,0.808612406,0.63421309,0.002921887,0.060123749,0.842428088,0.713482797,0.079520971
atomic-sweep-4,0.113613185,0.832199991,0.671207726,0.002846621,0.051405571,0.851859689,0.733248949,0.073933318
visionary-sweep-1,0.147358045,0.828454614,0.675812542,0.00271195,0.051529467,0.843366385,0.70383966,0.075229786
stellar-sweep-20,0.168176767,0.828152239,0.684985161,0.002755057,0.056110013,0.861480236,0.73591435,0.070403047
hearty-sweep-6,0.179492127,0.832810223,0.661862075,0.002753746,0.053787887,0.846662998,0.714109421,0.074721061
winter-sweep-5,0.203994873,0.831491232,0.682633281,0.002791647,0.051829368,0.848911047,0.750140667,0.065777957
frosty-sweep-10,0.206844484,0.776620448,0.611423612,0.003583605,0.06526573,0.807463765,0.692573547,0.077458322
different-sweep-4,1,0.808392346,0.658193231,0.002944511,0.055929624,0.827789307,0.699846745,0.07047601
honest-sweep-19,1.216871288,0.811231494,0.634605169,0.003246635,0.063758358,0.84227705,0.714751005,0.073332965
ancient-sweep-8,1.35204717,0.802023709,0.60121578,0.00329307,0.058403879,0.845532656,0.729926348,0.068188235
bumbling-sweep-3,1.784116745,0.818763971,0.670568109,0.002942624,0.054820716,0.86226511,0.751302361,0.061088644
desert-sweep-5,2,0.82697016,0.66661036,0.003129789,0.052823801,0.863325119,0.750677109,0.063258737
peach-sweep-11,2.316192065,0.825191617,0.679740727,0.002979477,0.052835632,0.857002258,0.744005203,0.066879682
playful-sweep-19,2.390589984,0.84046644,0.686590016,0.002709852,0.04488612,0.866520524,0.747152805,0.070395082
lemon-sweep-7,2.708769904,0.826930702,0.665468454,0.003000807,0.051315177,0.855418801,0.742359281,0.066246092
apricot-sweep-6,5,0.806560457,0.662470758,0.00341818,0.064461023,0.837090969,0.720098257,0.071241155
flowing-sweep-7,10,0.821211219,0.652508736,0.002703453,0.049412139,0.844680309,0.735447288,0.068088897
zany-sweep-3,20,0.818359315,0.630626142,0.003161339,0.05650153,0.838720024,0.719822168,0.070081249
